Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.44     0.00    15676     0.00     0.00  void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, __gnu_cxx::__ops::_Val_comp_iter<std::less<val_t> > >(__gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, __gnu_cxx::__ops::_Val_comp_iter<std::less<val_t> >)
  0.00      1.44     0.00    10586     0.00     0.00  std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>::_M_gen_rand()
  0.00      1.44     0.00     4904     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)
  0.00      1.44     0.00     4704     0.00     0.00  sanity_check(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, ADS_set<val_t, 7ul> const&, std::set<val_t, std::less<val_t>, std::allocator<val_t> > const&)
  0.00      1.44     0.00     4704     0.00     0.00  operator==(ADS_set<val_t, 7ul> const&, std::set<val_t, std::less<val_t>, std::allocator<val_t> > const&)
  0.00      1.44     0.00     4704     0.00     0.00  operator!=(ADS_set<val_t, 7ul> const&, std::set<val_t, std::less<val_t>, std::allocator<val_t> > const&)
  0.00      1.44     0.00     4656     0.00     0.00  val_t* std::__niter_base<val_t*, std::vector<val_t, std::allocator<val_t> > >(__gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >)
  0.00      1.44     0.00     3921     0.00     0.00  std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::_M_erase(std::_Rb_tree_node<val_t>*)
  0.00      1.44     0.00     3806     0.00     0.00  std::_Rb_tree_iterator<val_t> std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::_M_insert_unique_<val_t const&, std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::_Alloc_node>(std::_Rb_tree_const_iterator<val_t>, val_t const&, std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::_Alloc_node&)
  0.00      1.44     0.00     2500     0.00     0.00  std::vector<val_t, std::allocator<val_t> >::reserve(unsigned long)
  0.00      1.44     0.00     2408     0.00     0.00  ADS_set<val_t, 7ul>::ADS_set()
  0.00      1.44     0.00     1900     0.00     0.00  operator==(ADS_set<val_t, 7ul> const&, ADS_set<val_t, 7ul> const&)
